"Alt. ID(s) interactor A","Interaction detection method(s)","Interaction type(s)","Confidence value(s)","Expansion method(s)","Experimental role(s) interactor A","Experimental role(s) interactor B","Type(s) interactor A","Type(s) interactor B","Host organism(s)","Negative","Feature(s) interactor A","Feature(s) interactor B","Mi_score","interactor_A","interactor_B"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.27","P01112","Q96A49"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.27","P01112","Q8WTV0"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.27","P01112","Q9P0L0"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.27","P01112","P42167"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.27","P01112","Q92692"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.27","P01112","Q9UET6"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.57","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.57","P01112","P11233"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.27","P01112","Q9Y295"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.27","P01112","O95292"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.27","P01112","Q9NZ45"
