X,seed_kras,seed_nras,seed_hras,uniprotswissprot
LEFTY1,10.2904973419521,11.8701811963099,21.1485166582124,O75610
ERN2,8.85360251606417,11.3013763682655,18.0929117144488,Q76MJ5
MUC5AC,8.70969629803545,-11.0938483941998,17.0642238292465,P98088
LY6G6D,-7.8876085746634,9.79924090289309,14.6539019175868,O95868
LEMD1,7.78063504500221,9.6112757411379,14.5913321448718,Q68G75
TFF1,6.63113229718774,7.60114751246273,10.2124866388486,P04155
MUC5B,6.56195120023915,7.44928628184835,9.89768500109692,Q9HC84
CHST5,6.45883917181531,7.24515401218026,9.06524355485666,Q9GZS9
C8orf74,6.30094022362841,6.67782124378538,7.25348215189092,Q6P047
DUSP4,6.14267897530138,6.5219940308153,6.2415941301426,Q13115
CCDC60,6.01394014112337,6.46990542873918,5.99712345735634,Q8IWA6
SLC26A3,-6.00238003500673,6.4465197828761,5.95100593767739,P40879
MST1R,5.79016525184112,6.10766012396285,5.73262626807198,Q04912
ATP2C2,5.76668313913102,6.05298463942807,5.67421164543258,O75185
REG4,5.66439437442432,6.01374659610635,5.3982801921039,Q9BYZ8
SPANXN3,5.37144681389145,5.80893872976718,4.84600447576058,Q5MJ09
FUT3,5.30352361904827,5.70161217712279,4.50264672881718,P21217
ETV4,5.25816804235018,-5.49578492064848,4.33807163562499,P43268
QSOX1,5.22884230388613,5.42180890530581,4.25934606789823,O00391
MS4A8,5.18060709616949,-5.34605090504824,4.24370141984577,Q9BY19
ARL14,5.10347997045552,5.2617303256091,4.05690273297266,Q8N4G2
PDE6A,-5.04970074831699,5.19872400790992,4.02226093196155,P16499
B3GNT6,5.04212495660882,5.18331999782287,4.01927418611205,Q6ZMB0
AQP8,-5.02894192385937,5.16891169649644,4.00676949059735,O94778
KCNN4,5.02042000935904,5.16182594639614,4.00195786939305,O15554
LHFPL7,5.01660487768202,5.15551607605716,3.99160918412854,Q6ICI0
SLC5A1,4.97261390851238,5.05972412615653,3.93562999439963,P13866
TAS2R38,4.94300488813664,5.04065615848109,3.90560210726301,P59533
LPCAT4,4.81335166906516,4.96842478724867,3.84228755256313,Q643R3
SLC26A2,-4.69994380052246,4.88781785647226,3.79935281832639,P50443
