Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-211859,"Biological oxidations",1,218,0.018000165139129717,0.38763804859814777,0.38763804859814777,2,178,0.011497965247723015,9606,Homo sapiens,"O14880","O14880","R-HSA-5423653;R-HSA-176059"
R-HSA-68882,"Mitotic Anaphase",1,224,0.018495582528280076,0.3959248344960451,0.3959248344960451,3,32,0.002067049932174924,9606,Homo sapiens,"P68371","P68371","R-HSA-9668419;R-HSA-2467809;R-HSA-2467811"
R-HSA-2555396,"Mitotic Metaphase and Anaphase",1,225,0.01857815209313847,0.39729542461985634,0.39729542461985634,3,33,0.0021316452425553904,9606,Homo sapiens,"P68371","P68371","R-HSA-9668419;R-HSA-2467809;R-HSA-2467811"
R-HSA-162906,"HIV Infection",1,233,0.019238708612005613,0.4081528591845659,0.4081528591845659,1,159,0.010270654350494153,9606,Homo sapiens,"P84077","P84077","R-HSA-200879"
R-HSA-168256,"Immune System",6,2330,0.19238708612005614,0.4213079269215023,0.4213079269215023,15,1786,0.11536722433951295,9606,Homo sapiens,"P61619;Q07065;Q8NF37;P84077;Q9UQB8;P68371","P61619;Q07065;Q8NF37;P84077;Q9UQB8;P68371","R-HSA-1236947;R-HSA-2213248;R-HSA-8951498;R-HSA-9836404;R-HSA-2029469;R-HSA-2029466;R-HSA-442592;R-HSA-2029465;R-HSA-6799350;R-HSA-2130194;R-HSA-6798739;R-HSA-8950173;R-HSA-6798751;R-HSA-2130619;R-HSA-2197690"
R-HSA-421270,"Cell-cell junction organization",1,244,0.02014697382544794,0.4227747342643311,0.4227747342643311,13,144,0.00930172469478716,9606,Homo sapiens,"P35221","P35221","R-HSA-9934294;R-HSA-9934486;R-HSA-9817330;R-HSA-9934751;R-HSA-9833671;R-HSA-9773218;R-HSA-9761452;R-HSA-9817325;R-HSA-9934411;R-HSA-419002;R-HSA-9833674;R-HSA-9934410;R-HSA-9833672"
R-HSA-597592,"Post-translational protein modification",4,1483,0.12245066468499712,0.42529419291366555,0.42529419291366555,15,594,0.03836961436599703,9606,Homo sapiens,"Q07065;P84077;P19367;P68371","Q07065;P84077;P19367;P68371","R-HSA-6807877;R-HSA-6807875;R-HSA-6807872;R-HSA-8955712;R-HSA-8952289;R-HSA-8865774;R-HSA-6809006;R-HSA-6809003;R-HSA-8867370;R-HSA-9909159;R-HSA-8955706;R-HSA-8955869;R-HSA-6807868;R-HSA-6807866;R-HSA-8866105"
R-HSA-202733,"Cell surface interactions at the vascular wall",1,246,0.020312112955164725,0.4253956129956221,0.4253956129956221,10,65,0.004198695174730315,9606,Homo sapiens,"P35613","P35613","R-HSA-204434;R-HSA-204465;R-HSA-204485;R-HSA-204549;R-HSA-204500;R-HSA-375133;R-HSA-375135;R-HSA-204392;R-HSA-204600;R-HSA-375131"
R-HSA-9824443,"Parasitic Infection Pathways",1,253,0.02089009990917348,0.43447874721995516,0.43447874721995516,6,95,0.006136554486144306,9606,Homo sapiens,"Q9UQB8","Q9UQB8","R-HSA-2130194;R-HSA-2029469;R-HSA-2029466;R-HSA-442592;R-HSA-2029465;R-HSA-2197690"
R-HSA-9658195,"Leishmania infection",1,253,0.02089009990917348,0.43447874721995516,0.43447874721995516,6,95,0.006136554486144306,9606,Homo sapiens,"Q9UQB8","Q9UQB8","R-HSA-2130194;R-HSA-2029469;R-HSA-2029466;R-HSA-442592;R-HSA-2029465;R-HSA-2197690"
R-HSA-9609646,"HCMV Infection",1,262,0.02163322599289902,0.4459540630645601,0.4459540630645601,2,31,0.002002454621794458,9606,Homo sapiens,"P68371","P68371","R-HSA-9614343;R-HSA-9614367"
R-HSA-446728,"Cell junction organization",1,271,0.022376352076624556,0.4572049819155132,0.4572049819155132,13,160,0.01033524966087462,9606,Homo sapiens,"P35221","P35221","R-HSA-9934294;R-HSA-9934486;R-HSA-9817330;R-HSA-9934751;R-HSA-9833671;R-HSA-9773218;R-HSA-9761452;R-HSA-9817325;R-HSA-9934411;R-HSA-419002;R-HSA-9833674;R-HSA-9934410;R-HSA-9833672"
R-HSA-112315,"Transmission across Chemical Synapses",1,273,0.022541491206341344,0.4596751386949842,0.4596751386949842,3,162,0.010464440281635554,9606,Homo sapiens,"P68371","P68371","R-HSA-9610627;R-HSA-9619542;R-HSA-9610408"
R-HSA-109582,"Hemostasis",2,727,0.06002807365205185,0.48790476872546285,0.48790476872546285,12,342,0.0220915961501195,9606,Homo sapiens,"P35613;P68371","P35613;P68371","R-HSA-204485;R-HSA-204549;R-HSA-204392;R-HSA-983266;R-HSA-204434;R-HSA-204465;R-HSA-983259;R-HSA-204500;R-HSA-375133;R-HSA-375135;R-HSA-204600;R-HSA-375131"
R-HSA-1852241,"Organelle biogenesis and maintenance",1,299,0.024688299892659565,0.49081837539620454,0.49081837539620454,16,86,0.005555196692720109,9606,Homo sapiens,"P68371","P68371","R-HSA-5624949;R-HSA-5626228;R-HSA-5625424;R-HSA-5626227;R-HSA-5625426;R-HSA-5626681;R-HSA-5617816;R-HSA-5624952;R-HSA-5618328;R-HSA-5618331;R-HSA-5638009;R-HSA-5625421;R-HSA-5626220;R-HSA-5626223;R-HSA-5625416;R-HSA-5626699"
R-HSA-913531,"Interferon Signaling",1,303,0.02501857815209314,0.49545350979395997,0.49545350979395997,1,140,0.009043343453265292,9606,Homo sapiens,"P68371","P68371","R-HSA-9836404"
R-HSA-71387,"Metabolism of carbohydrates and carbohydrate derivatives",1,304,0.02510114771695153,0.4966059291590259,0.4966059291590259,1,237,0.015309088560170532,9606,Homo sapiens,"P19367","P19367","R-HSA-70420"
R-HSA-1500931,"Cell-Cell communication",1,309,0.0255139955412435,0.5023301090874797,0.5023301090874797,13,183,0.011820941799625347,9606,Homo sapiens,"P35221","P35221","R-HSA-9934294;R-HSA-9934486;R-HSA-9817330;R-HSA-9934751;R-HSA-9833671;R-HSA-9773218;R-HSA-9761452;R-HSA-9817325;R-HSA-9934411;R-HSA-419002;R-HSA-9833674;R-HSA-9934410;R-HSA-9833672"
R-HSA-8953854,"Metabolism of RNA",2,747,0.06167946494921972,0.5025871155008783,0.5025871155008783,6,244,0.015761255732833795,9606,Homo sapiens,"P30050;P62906","P30050;P62906","R-HSA-927836;R-HSA-927789;R-HSA-6791218;R-HSA-927832;R-HSA-927813;R-HSA-927889"
