Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9925561,"Developmental Lineage of Pancreatic Acinar Cells",1,32,0.0026422260754685825,0.29290461140422797,0.29290461140422797,1,3,1.9378593114139912E-4,9606,Homo sapiens,"P07477","P07477","R-HSA-9820464"
R-HSA-69273,"Cyclin A/B1/B2 associated events during G2/M transition",1,32,0.0026422260754685825,0.29290461140422797,0.29290461140422797,1,35,0.002260835863316323,9606,Homo sapiens,"O14980","O14980","R-HSA-170072"
R-HSA-3108232,"SUMO E3 ligases SUMOylate target proteins",3,175,0.01444967385021881,0.2941490405723419,0.2941490405723419,13,132,0.008526580970221562,9606,Homo sapiens,"P04637;P57740;Q5SRE5","P04637;P57740;Q5SRE5","R-HSA-5228525;R-HSA-3000399;R-HSA-5228523;R-HSA-4551649;R-HSA-4615872;R-HSA-2997706;R-HSA-3000348;R-HSA-5228508;R-HSA-4615987;R-HSA-3000411;R-HSA-4570493;R-HSA-4551679;R-HSA-4655355"
R-HSA-4420097,"VEGFA-VEGFR2 Pathway",2,100,0.00825695648583932,0.29437302775138907,0.29437302775138907,1,79,0.005103029520056844,9606,Homo sapiens,"P42345;Q9BVC4","P42345;Q9BVC4","R-HSA-198640"
R-HSA-5610787,"Hedgehog 'off' state",2,101,0.008339526050697713,0.2983557375981496,0.2983557375981496,2,32,0.002067049932174924,9606,Homo sapiens,"P68371;Q9BQE3","P68371;Q9BQE3","R-HSA-5610733;R-HSA-5610767"
R-HSA-8978868,"Fatty acid metabolism",3,177,0.014614812979935596,0.3000308998755439,0.3000308998755439,13,204,0.013177443317615141,9606,Homo sapiens,"P40939;Q9P035;P55084","P40939;Q9P035;P55084","R-HSA-77283;R-HSA-77321;R-HSA-5676637;R-HSA-77329;R-HSA-77301;R-HSA-77271;R-HSA-77303;R-HSA-77304;R-HSA-109339;R-HSA-77277;R-HSA-77309;R-HSA-77340;R-HSA-109342"
R-HSA-2022928,"HS-GAG biosynthesis",1,33,0.0027247956403269754,0.30053213057988526,0.30053213057988526,13,14,9.043343453265293E-4,9606,Homo sapiens,"O75487","O75487","R-HSA-2076383;R-HSA-2076508;R-HSA-2076371;R-HSA-2024108;R-HSA-2022860;R-HSA-2022856;R-HSA-2076392;R-HSA-2022887;R-HSA-2024100;R-HSA-2076611;R-HSA-2076419;R-HSA-9953259;R-HSA-2022851"
R-HSA-1592389,"Activation of Matrix Metalloproteinases",1,33,0.0027247956403269754,0.30053213057988526,0.30053213057988526,7,27,0.0017440733802725921,9606,Homo sapiens,"P07477","P07477","R-HSA-1602488;R-HSA-1604712;R-HSA-1602458;R-HSA-1592316;R-HSA-1592398;R-HSA-1604722;R-HSA-1592371"
R-HSA-1839124,"FGFR1 mutant receptor activation",1,33,0.0027247956403269754,0.30053213057988526,0.30053213057988526,2,25,0.0016148827595116595,9606,Homo sapiens,"O94905","O94905","R-HSA-8853325;R-HSA-8853322"
R-HSA-9920588,"Dengue virus activates/modulates innate and adaptive immune responses",1,33,0.0027247956403269754,0.30053213057988526,0.30053213057988526,1,23,0.0014856921387507267,9606,Homo sapiens,"Q9NV70","Q9NV70","R-HSA-9921319"
R-HSA-163359,"Glucagon signaling in metabolic regulation",1,34,0.0028073652051853687,0.3080779921833341,0.3080779921833341,1,6,3.8757186228279824E-4,9606,Homo sapiens,"P62879","P62879","R-HSA-825631"
R-HSA-2559585,"Oncogene Induced Senescence",1,34,0.0028073652051853687,0.3080779921833341,0.3080779921833341,3,19,0.0012273108972288612,9606,Homo sapiens,"P04637","P04637","R-HSA-6804998;R-HSA-6804996;R-HSA-6804879"
R-HSA-420092,"Glucagon-type ligand receptors",1,34,0.0028073652051853687,0.3080779921833341,0.3080779921833341,1,8,5.16762483043731E-4,9606,Homo sapiens,"P62879","P62879","R-HSA-381612"
