Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1266738,"Developmental Biology",7,1482,0.12236809512013871,0.02146221032933404,0.10348482680301918,78,979,0.06323880886247658,9606,Homo sapiens,"O14980;Q04695;P12931;P98172;P52799;Q14574","P12931-1;O14980;Q04695;P12931;P98172;P52799;Q14574","R-HSA-6814695;R-HSA-6806629;R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-6810357;R-HSA-3928617;R-HSA-3928623;R-HSA-8942224;R-HSA-3928610;R-HSA-445084;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-9011241;R-HSA-3928602;R-HSA-6805573;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-418850;R-HSA-4093339;R-HSA-4093336;R-HSA-3928604;R-HSA-3928595;R-HSA-374701;R-HSA-3928594;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-418858;R-HSA-3928598;R-HSA-4093331;R-HSA-418859;R-HSA-3928597;R-HSA-418856;R-HSA-4093329;R-HSA-4093327;R-HSA-6806613;R-HSA-418868;R-HSA-3928584;R-HSA-3928591;R-HSA-6806610;R-HSA-3928588;R-HSA-418865;R-HSA-3928578;R-HSA-3928583;R-HSA-418874;R-HSA-6814298;R-HSA-3928580;R-HSA-391866;R-HSA-8855747;R-HSA-9824979;R-HSA-6814764;R-HSA-9853402;R-HSA-6805546;R-HSA-9824986;R-HSA-373716;R-HSA-6814387;R-HSA-6809393;R-HSA-6809663;R-HSA-6810937;R-HSA-6814734;R-HSA-3928657;R-HSA-3928651;R-HSA-3928648;R-HSA-6811539;R-HSA-3928654;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-3928645;R-HSA-3928644"
R-HSA-1253288,"Downregulation of ERBB4 signaling",1,11,9.082652134423251E-4,0.021572189426237842,0.10348482680301918,1,5,3.229765519023319E-4,9606,Homo sapiens,"P12931","P12931","R-HSA-9612219"
R-HSA-8934903,"Receptor Mediated Mitophagy",1,11,9.082652134423251E-4,0.021572189426237842,0.10348482680301918,1,7,4.5216717266326466E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-8948143"
R-HSA-180689,"APOBEC3G mediated resistance to HIV-1 infection",1,12,9.908347783007183E-4,0.02351102935321192,0.10348482680301918,1,3,1.9378593114139912E-4,9606,Homo sapiens,"O75531","O75531","R-HSA-180630"
R-HSA-430116,"GP1b-IX-V activation signalling",1,12,9.908347783007183E-4,0.02351102935321192,0.10348482680301918,2,9,5.813577934241974E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-443439;R-HSA-443418"
R-HSA-210990,"PECAM1 interactions",1,12,9.908347783007183E-4,0.02351102935321192,0.10348482680301918,1,7,4.5216717266326466E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-210291"
R-HSA-9675108,"Nervous system development",4,566,0.04673437370985055,0.023954628405118084,0.10348482680301918,59,321,0.02073509463212971,9606,Homo sapiens,"P12931;P98172;P52799","P12931-1;P12931;P98172;P52799","R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-3928623;R-HSA-3928610;R-HSA-445084;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-9011241;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-418850;R-HSA-4093339;R-HSA-4093336;R-HSA-3928604;R-HSA-3928595;R-HSA-374701;R-HSA-3928594;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-418858;R-HSA-3928598;R-HSA-4093331;R-HSA-418859;R-HSA-3928597;R-HSA-418856;R-HSA-4093329;R-HSA-4093327;R-HSA-418868;R-HSA-3928584;R-HSA-3928591;R-HSA-3928588;R-HSA-418865;R-HSA-3928578;R-HSA-3928583;R-HSA-418874;R-HSA-3928580;R-HSA-391866;R-HSA-8855747;R-HSA-373716;R-HSA-3928657;R-HSA-3928651;R-HSA-3928648;R-HSA-3928654;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-3928645;R-HSA-3928644"
R-HSA-164843,"2-LTR circle formation",1,13,0.0010734043431591116,0.02544618707842694,0.10348482680301918,1,3,1.9378593114139912E-4,9606,Homo sapiens,"O75531","O75531","R-HSA-175174"
R-HSA-3270619,"IRF3-mediated induction of type I IFN",1,13,0.0010734043431591116,0.02544618707842694,0.10348482680301918,1,5,3.229765519023319E-4,9606,Homo sapiens,"P78527","P78527","R-HSA-1834939"
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",2,126,0.010403765172157542,0.025668954237637265,0.10348482680301918,2,7,4.5216717266326466E-4,9606,Homo sapiens,"P12931","P12931-1;P12931","R-HSA-2316434;R-HSA-8857925"
R-HSA-6809371,"Formation of the cornified envelope",2,129,0.010651473866732722,0.026809433037636166,0.10348482680301918,9,27,0.0017440733802725921,9606,Homo sapiens,"Q04695;Q14574","Q04695;Q14574","R-HSA-6814695;R-HSA-6810357;R-HSA-6814387;R-HSA-6811539;R-HSA-8942224;R-HSA-6814734;R-HSA-6814764;R-HSA-6814298;R-HSA-6810937"
R-HSA-5576891,"Cardiac conduction",2,130,0.010734043431591116,0.027194143961315254,0.10348482680301918,4,33,0.0021316452425553904,9606,Homo sapiens,"Q13586;P05023","Q13586;P05023","R-HSA-9684068;R-HSA-2089943;R-HSA-434798;R-HSA-936897"
R-HSA-418885,"DCC mediated attractive signaling",1,14,0.0011559739080175047,0.02737766929154628,0.10348482680301918,8,12,7.751437245655965E-4,9606,Homo sapiens,"P12931","P12931","R-HSA-373716;R-HSA-418868;R-HSA-418850;R-HSA-418865;R-HSA-374701;R-HSA-418874;R-HSA-418858;R-HSA-418856"
R-HSA-171007,"p38MAPK events",1,14,0.0011559739080175047,0.02737766929154628,0.10348482680301918,2,5,3.229765519023319E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-171011;R-HSA-170991"
R-HSA-162909,"Host Interactions of HIV factors",2,131,0.01081661299644951,0.027581114405524354,0.10348482680301918,10,54,0.0034881467605451843,9606,Homo sapiens,"O14980;O75531","O14980;O75531","R-HSA-180739;R-HSA-165043;R-HSA-180627;R-HSA-180630;R-HSA-165047;R-HSA-165028;R-HSA-180885;R-HSA-165034;R-HSA-180622;R-HSA-165055"
R-HSA-199418,"Negative regulation of the PI3K/AKT network",2,133,0.010981752126166295,0.02836179530256644,0.10348482680301918,2,10,6.459531038046638E-4,9606,Homo sapiens,"P12931","P12931-1;P12931","R-HSA-2316434;R-HSA-8857925"
