Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1483191,"Synthesis of PC",1,28,0.0023119478160350095,0.04080725691384235,0.10172495332948928,2,17,0.0010981202764679284,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-8873923;R-HSA-8873834"
R-HSA-9958790,"SLC-mediated transport of inorganic anions",1,35,0.002889934770043762,0.050760495445683174,0.10172495332948928,1,21,0.001356501517989794,9606,Homo sapiens,"P55011","P55011","R-HSA-426086"
R-HSA-9013424,"RHOV GTPase cycle",1,37,0.0030550738997605483,0.053586311783034746,0.10172495332948928,1,2,1.2919062076093276E-4,9606,Homo sapiens,"P29317","P29317","R-HSA-9018794"
R-HSA-8964043,"Plasma lipoprotein clearance",1,37,0.0030550738997605483,0.053586311783034746,0.10172495332948928,2,35,0.002260835863316323,9606,Homo sapiens,"Q86X29","Q86X29","R-HSA-8933258;R-HSA-8933292"
R-HSA-5689896,"Ovarian tumor domain proteases",1,39,0.0032202130294773346,0.05640418190511853,0.10172495332948928,1,14,9.043343453265293E-4,9606,Homo sapiens,"Q15025","Q15025","R-HSA-5690845"
R-HSA-1483166,"Synthesis of PA",1,39,0.0032202130294773346,0.05640418190511853,0.10172495332948928,1,17,0.0010981202764679284,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-75885"
R-HSA-9013420,"RHOU GTPase cycle",1,40,0.003302782594335728,0.057810143710568807,0.10172495332948928,1,4,2.583812415218655E-4,9606,Homo sapiens,"P29317","P29317","R-HSA-9018766"
R-HSA-9696273,"RND1 GTPase cycle",1,42,0.0034679217240525142,0.060616133931984395,0.10172495332948928,1,2,1.2919062076093276E-4,9606,Homo sapiens,"P29317","P29317","R-HSA-9696271"
R-HSA-9696264,"RND3 GTPase cycle",1,42,0.0034679217240525142,0.060616133931984395,0.10172495332948928,1,2,1.2919062076093276E-4,9606,Homo sapiens,"P29317","P29317","R-HSA-9696268"
R-HSA-9035034,"RHOF GTPase cycle",1,42,0.0034679217240525142,0.060616133931984395,0.10172495332948928,1,3,1.9378593114139912E-4,9606,Homo sapiens,"P47756","P47756","R-HSA-9693125"
R-HSA-9696270,"RND2 GTPase cycle",1,43,0.0035504912889109076,0.06201616758685502,0.10172495332948928,1,2,1.2919062076093276E-4,9606,Homo sapiens,"P29317","P29317","R-HSA-9696266"
R-HSA-6811438,"Intra-Golgi traffic",1,44,0.0036330608537693005,0.06341423042501593,0.10172495332948928,1,10,6.459531038046638E-4,9606,Homo sapiens,"O43752","O43752","R-HSA-6811433"
R-HSA-199991,"Membrane Trafficking",3,637,0.052596812814796466,0.06572125834941822,0.10172495332948928,13,219,0.014146372973322137,9606,Homo sapiens,"O43752;Q9P2W9;P47756","O43752;Q9P2W9;P47756","R-HSA-6811431;R-HSA-8849350;R-HSA-6811427;R-HSA-6811425;R-HSA-6809006;R-HSA-6809003;R-HSA-8849353;R-HSA-6811433;R-HSA-6811423;R-HSA-6811422;R-HSA-6814684;R-HSA-6814683;R-HSA-6814682"
R-HSA-6811440,"Retrograde transport at the Trans-Golgi-Network",1,49,0.004045908678061267,0.0703750736481058,0.10172495332948928,4,20,0.0012919062076093275,9606,Homo sapiens,"O43752","O43752","R-HSA-6811431;R-HSA-6814684;R-HSA-6814683;R-HSA-6814682"
R-HSA-6811436,"COPI-independent Golgi-to-ER retrograde traffic",1,53,0.004376186937494839,0.07590853901645345,0.10172495332948928,2,7,4.5216717266326466E-4,9606,Homo sapiens,"P47756","P47756","R-HSA-8849350;R-HSA-8849353"
R-HSA-9013405,"RHOD GTPase cycle",1,53,0.004376186937494839,0.07590853901645345,0.10172495332948928,1,9,5.813577934241974E-4,9606,Homo sapiens,"P47756","P47756","R-HSA-9693198"
R-HSA-5578775,"Ion homeostasis",1,54,0.004458756502353232,0.07728703677640092,0.10172495332948928,2,17,0.0010981202764679284,9606,Homo sapiens,"P05023","P05023","R-HSA-9684068;R-HSA-936897"
R-HSA-936837,"Ion transport by P-type ATPases",1,55,0.004541326067211626,0.07866359226641673,0.10172495332948928,2,17,0.0010981202764679284,9606,Homo sapiens,"P05023","P05023","R-HSA-9684068;R-HSA-936897"
R-HSA-3371497,"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand",1,57,0.004706465196928412,0.08141088673685037,0.10172495332948928,1,22,0.0014210968283702604,9606,Homo sapiens,"P47756","P47756","R-HSA-5618080"
R-HSA-382551,"Transport of small molecules",3,723,0.05969779539261828,0.08874161728304142,0.10172495332948928,5,461,0.029778438085395,9606,Homo sapiens,"P55011;Q86X29;P05023","P55011;Q86X29;P05023","R-HSA-426086;R-HSA-8933258;R-HSA-8933292;R-HSA-9684068;R-HSA-936897"
R-HSA-9662360,"Sensory processing of sound by inner hair cells of the cochlea",1,70,0.005779869540087524,0.09908059620163856,0.10172495332948928,1,7,4.5216717266326466E-4,9606,Homo sapiens,"P47756","P47756","R-HSA-9659380"
R-HSA-5653656,"Vesicle-mediated transport",3,767,0.06333085624638758,0.10172495332948928,0.10172495332948928,13,254,0.01640720883663846,9606,Homo sapiens,"O43752;Q9P2W9;P47756","O43752;Q9P2W9;P47756","R-HSA-6811431;R-HSA-8849350;R-HSA-6811427;R-HSA-6811425;R-HSA-6809006;R-HSA-6809003;R-HSA-8849353;R-HSA-6811433;R-HSA-6811423;R-HSA-6811422;R-HSA-6814684;R-HSA-6814683;R-HSA-6814682"
R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",1,76,0.0062752869292378825,0.10712712679250747,0.10712712679250747,2,85,0.005490601382339642,9606,Homo sapiens,"Q86X29","Q86X29","R-HSA-8933258;R-HSA-8933292"
R-HSA-9659379,"Sensory processing of sound",1,78,0.006440426058954669,0.1097941861663575,0.1097941861663575,1,13,8.397390349460629E-4,9606,Homo sapiens,"P47756","P47756","R-HSA-9659380"
R-HSA-6807878,"COPI-mediated anterograde transport",1,102,0.008422095615556105,0.14121760565675012,0.14121760565675012,2,12,7.751437245655965E-4,9606,Homo sapiens,"P47756","P47756","R-HSA-6809006;R-HSA-6809003"
R-HSA-6811434,"COPI-dependent Golgi-to-ER retrograde traffic",1,103,0.008504665180414499,0.1425039031574773,0.1425039031574773,4,11,7.105484141851302E-4,9606,Homo sapiens,"Q9P2W9","Q9P2W9","R-HSA-6811427;R-HSA-6811425;R-HSA-6811423;R-HSA-6811422"
