"node","ppr"
"P01116",0.213813041414341
"P01116-2",0.136042575374744
"P01116-1",0.113349625083829
"Q6P996",0.00593643079293141
"P35221",0.00587198020758848
"P83436",0.00549579905505406
"P55011",0.0052751223020655
"Q9C004",0.00524724588394964
"P05023",0.00492190512853471
"P21796",0.00448066278228483
"P29317",0.00440437658266026
"P84077",0.00434880937199552
"Q13151",0.00387126637085804
"Q86X29",0.00382273528845207
"Q3KQU3",0.0032846940938731
"Q96N66",0.00316799612972153
"P49815",0.00316629266052379
"Q9NW97",0.00311127752922821
"O94832",0.00290674453922885
"Q9NQX7",0.00270836889206107
"P61619",0.00270668251612211
"Q9H1C4",0.00268164666480636
"P49006",0.00267386160637482
"Q07065",0.00264931094567339
"P30825",0.00262183480682732
"P04439",0.00257390992857313
"Q7LBC6",0.00239758723888194
"Q07960",0.00231289471041327
"Q9H0X4",0.00226093344374695
"Q9Y624",0.00222869572468269
"P62879",0.00213451845328702
"Q9ULJ7",0.0021198574393277
"P04049",0.00204497450601126
"Q8WV19",0.00202540629939547
"P12236",0.00201265203781928
"P07477",0.00197684044764417
"Q15025",0.00197260983329715
"O95470",0.0019317734698535
"P15056",0.00184915978667002
"Q5VT25",0.00177378090277051
"Q9BQT8",0.0017125900958453
"Q969H0",0.00155666882400002
"P35613",0.00153409719806771
"Q8NF37",0.00152699032634681
"Q96JH8",0.00148123219271938
"Q92896",0.00147794533991827
"P30050",0.00146623782211324
"P01111",0.00145999258066961
"Q8N441",0.00144274863000556
"P04637",0.00140748746371493
"Q0VD83",0.00138657320820555
"Q86UU1",0.00137490252842597
"P01112",0.0013633163373392
"Q99755",0.00132313578902051
"Q00587",0.00126956686528422
"O14523",0.00119525533952262
