Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-422475,"Axon guidance",1,566,0.03505946481665015,0.8436749300246988,0.8436749300246988,14,295,0.018590874716410386,9606,Homo sapiens,"EFNA5","","R-HSA-3928602;R-HSA-3928607;R-HSA-3928604;R-HSA-3928597;R-HSA-3928628;R-HSA-3928660;R-HSA-3928651;R-HSA-4093327;R-HSA-3928584;R-HSA-3928648;R-HSA-3928591;R-HSA-3928642;R-HSA-3928578;R-HSA-3928646"
R-HSA-9679506,"SARS-CoV Infections",1,576,0.035678889990089196,0.8488086135398222,0.8488086135398222,3,402,0.025334005545752457,9606,Homo sapiens,"TMEM173","","R-HSA-9730501;R-HSA-9730528;R-HSA-9711016"
R-HSA-69278,"Cell Cycle, Mitotic",1,587,0.03636025768087215,0.8542647713891524,0.8542647713891524,2,367,0.023128308545500378,9606,Homo sapiens,"PHLDA1","","R-HSA-8853429;R-HSA-8853444"
R-HSA-9675108,"Nervous system development",1,603,0.03735133795837463,0.8618578532771053,0.8618578532771053,14,322,0.020292412402319132,9606,Homo sapiens,"EFNA5","","R-HSA-3928602;R-HSA-3928607;R-HSA-3928604;R-HSA-3928597;R-HSA-3928628;R-HSA-3928660;R-HSA-3928651;R-HSA-4093327;R-HSA-3928584;R-HSA-3928648;R-HSA-3928591;R-HSA-3928642;R-HSA-3928578;R-HSA-3928646"
R-HSA-556833,"Metabolism of lipids",3,1510,0.09353320118929634,0.875919475040834,0.875919475040834,10,998,0.06289387446433073,9606,Homo sapiens,"LPCAT4;SLC51B","","R-HSA-1482646;R-HSA-1482533;R-HSA-1482547;R-HSA-1482691;R-HSA-9733964;R-HSA-1482636;R-HSA-75885;R-HSA-1482667;R-HSA-1482635;R-HSA-1482539"
R-HSA-1280215,"Cytokine Signaling in Immune system",2,1106,0.06850842418235877,0.8795652600224968,0.8795652600224968,1,806,0.05079405092009075,9606,Homo sapiens,"DUSP4;DUSP6","","R-HSA-203797"
R-HSA-199991,"Membrane Trafficking",1,669,0.04143954410307235,0.8892829622737592,0.8892829622737592,16,219,0.013801361230148726,9606,Homo sapiens,"SYT8","","R-HSA-8868071;R-HSA-8863463;R-HSA-8868230;R-HSA-8867756;R-HSA-8868236;R-HSA-8868651;R-HSA-8867754;R-HSA-8868072;R-HSA-8868648;R-HSA-8868661;R-HSA-8868660;R-HSA-8868659;R-HSA-8868658;R-HSA-8869438;R-HSA-8871194;R-HSA-8871193"
R-HSA-392499,"Metabolism of proteins",5,2430,0.1505203171456888,0.9085791458836291,0.9085791458836291,18,929,0.05854550037811949,9606,Homo sapiens,"MUC2;QSOX1;MUC5B;MUC5AC;FUT3","","R-HSA-5694487;R-HSA-977071;R-HSA-1964505;R-HSA-913675;R-HSA-1964501;R-HSA-8952289;R-HSA-914017;R-HSA-914018;R-HSA-914012;R-HSA-5693925;R-HSA-914008;R-HSA-914010;R-HSA-981497;R-HSA-914005;R-HSA-981814;R-HSA-914006;R-HSA-6786012;R-HSA-981809"
R-HSA-1640170,"Cell Cycle",1,729,0.04515609514370664,0.9095343373226471,0.9095343373226471,2,474,0.029871439374842452,9606,Homo sapiens,"PHLDA1","","R-HSA-8853429;R-HSA-8853444"
R-HSA-388396,"GPCR downstream signalling",1,795,0.04924430128840436,0.9276256403328155,0.9276256403328155,7,175,0.011028485001260399,9606,Homo sapiens,"PPP1R1B","","R-HSA-180038;R-HSA-177284;R-HSA-201787;R-HSA-177275;R-HSA-180073;R-HSA-201790;R-HSA-180047"
R-HSA-5653656,"Vesicle-mediated transport",1,833,0.051598116947472746,0.9363783108875849,0.9363783108875849,16,254,0.016007058230400807,9606,Homo sapiens,"SYT8","","R-HSA-8868071;R-HSA-8863463;R-HSA-8868230;R-HSA-8867756;R-HSA-8868236;R-HSA-8868651;R-HSA-8867754;R-HSA-8868072;R-HSA-8868648;R-HSA-8868661;R-HSA-8868660;R-HSA-8868659;R-HSA-8868658;R-HSA-8869438;R-HSA-8871194;R-HSA-8871193"
R-HSA-372790,"Signaling by GPCR",1,878,0.05438553022794847,0.9454074128656559,0.9454074128656559,7,394,0.024829846231409124,9606,Homo sapiens,"PPP1R1B","","R-HSA-180038;R-HSA-177284;R-HSA-201787;R-HSA-177275;R-HSA-180073;R-HSA-201790;R-HSA-180047"
R-HSA-2262752,"Cellular responses to stress",1,1039,0.06435827552031714,0.9685443837973081,0.9685443837973081,3,521,0.03283337534660953,9606,Homo sapiens,"ERN2","","R-HSA-381109;R-HSA-381217;R-HSA-381091"
R-HSA-1280218,"Adaptive Immune System",1,1067,0.06609266600594649,0.9714374571569265,0.9714374571569265,3,325,0.020481472145197882,9606,Homo sapiens,"CTSE","","R-HSA-2130706;R-HSA-2130504;R-HSA-2130349"
R-HSA-1430728,"Metabolism",7,3775,0.23383300297324083,0.974456408125404,0.974456408125404,16,2376,0.14973531635996976,9606,Homo sapiens,"SLC26A2;LPCAT4;CHST13;SLC51B;FUT3","","R-HSA-9605682;R-HSA-9603986;R-HSA-1482646;R-HSA-1482547;R-HSA-427555;R-HSA-1971483;R-HSA-75885;R-HSA-1482533;R-HSA-1482691;R-HSA-9733964;R-HSA-1482636;R-HSA-9605609;R-HSA-1482667;R-HSA-1482635;R-HSA-1482539;R-HSA-9605644"
R-HSA-8953897,"Cellular responses to stimuli",1,1166,0.07222497522299307,0.9797222752987542,0.9797222752987542,3,613,0.038631207461557855,9606,Homo sapiens,"ERN2","","R-HSA-381109;R-HSA-381217;R-HSA-381091"
R-HSA-9824446,"Viral Infection Pathways",1,1404,0.08696729435084243,0.9911836382688519,0.9911836382688519,5,897,0.056528863120746155,9606,Homo sapiens,"TMEM173","","R-HSA-9730501;R-HSA-3244626;R-HSA-9730528;R-HSA-3244618;R-HSA-9711016"
R-HSA-74160,"Gene expression (Transcription)",1,1958,0.12128344895936571,0.9987973536315063,0.9987973536315063,2,1139,0.07177968237963196,9606,Homo sapiens,"PHLDA1","","R-HSA-9843219;R-HSA-9843112"
R-HSA-5663205,"Infectious disease",1,1962,0.12153121902874132,0.9988148610500547,0.9988148610500547,5,1225,0.0771993950088228,9606,Homo sapiens,"TMEM173","","R-HSA-9730501;R-HSA-3244626;R-HSA-9730528;R-HSA-3244618;R-HSA-9711016"
